NAME,total_population,median_household_income,poverty_count,labor_force_count,zcta,poverty_rate,has_sprouts,has_whole_foods
ZCTA5 01039,1728,109167,68,1135,01039,3.935185185185185,No,No
ZCTA5 01040,38210,49007,9675,16614,01040,25.320596702433917,No,No
ZCTA5 01050,2714,84333,322,1522,01050,11.864406779661017,No,No
ZCTA5 01053,1885,60875,177,733,01053,9.389920424403183,No,No
ZCTA5 01054,1793,105833,166,1014,01054,9.258226436140546,No,No
ZCTA5 01056,20883,76395,1969,10948,01056,9.428721926926208,No,No
ZCTA5 01057,8215,85614,859,4479,01057,10.45648204503956,No,No
ZCTA5 01060,14724,79604,1692,8658,01060,11.491442542787286,No,No
ZCTA5 01062,9491,87409,955,4794,01062,10.062164155515752,No,No
ZCTA5 01063,2089,-666666666,0,952,01063,0.0,No,No
ZCTA5 01066,134,20202,83,13,01066,61.940298507462686,No,No
ZCTA5 01068,1585,93906,83,809,01068,5.236593059936909,No,No
ZCTA5 01069,8516,71439,636,4378,01069,7.468294974166276,No,No
ZCTA5 01070,571,60313,87,279,01070,15.236427320490368,No,No
ZCTA5 01071,1259,105417,48,696,01071,3.8125496425734715,No,No
ZCTA5 01072,1413,99000,61,783,01072,4.3170559094125975,No,No
ZCTA5 01073,6185,114531,114,3439,01073,1.8431689571544059,No,No
ZCTA5 01074,694,88190,331,283,01074,47.69452449567723,No,No
ZCTA5 01075,17115,92740,1220,9226,01075,7.128250073035349,No,No
ZCTA5 01077,9244,106779,388,5114,01077,4.197317178710515,No,No
ZCTA5 01079,640,-666666666,150,315,01079,23.4375,No,No
ZCTA5 01080,2674,89335,122,1521,01080,4.56245325355273,No,No
ZCTA5 01081,1716,88636,76,1006,01081,4.428904428904429,No,No
ZCTA5 01082,10533,66607,1134,5502,01082,10.76616348618627,No,No
ZCTA5 01083,2539,87511,307,1448,01083,12.09137455691217,No,No
ZCTA5 01084,99,86538,9,49,01084,9.090909090909092,No,No
ZCTA5 01085,41592,78901,3396,20662,01085,8.165031736872477,No,No
ZCTA5 01088,725,51591,83,508,01088,11.448275862068966,No,No
ZCTA5 01089,28755,67297,3022,16072,01089,10.509476612762999,No,No
ZCTA5 01092,1428,69048,99,895,01092,6.932773109243698,No,No
ZCTA5 01093,145,130781,0,96,01093,0.0,No,No
ZCTA5 01094,44,87188,0,15,01094,0.0,No,No
ZCTA5 01095,14673,126689,552,7802,01095,3.762011858515641,No,No
ZCTA5 01096,2516,106250,110,1586,01096,4.372019077901431,No,No
ZCTA5 01097,36,-666666666,0,12,01097,0.0,No,No
ZCTA5 01098,951,91181,27,544,01098,2.8391167192429023,No,No
ZCTA5 01103,2245,21288,998,1170,01103,44.4543429844098,No,No
ZCTA5 01104,22606,47413,4550,10778,01104,20.12739980536141,No,No
ZCTA5 01105,12045,23948,5784,4166,01105,48.01992528019925,No,No
ZCTA5 01106,16019,137597,585,7470,01106,3.6519133528934393,No,No
ZCTA5 01107,12443,30825,5047,4833,01107,40.56095796833561,No,No
ZCTA5 01108,26198,48465,7419,12866,01108,28.318955645469117,No,No
